SQL,LIMAO,PG(LIMAO),GNTO,PG(GNTO)
22c_job.sql,9.01593565940857,1.2055151462554932,2.0646677017211914,1.4107916355133057
22d_job.sql,5.570614337921143,0.9130425453186035,1.3254609107971191,1.0272672176361084
23a_job.sql,9.511577606201172,0.22988629341125488,0.9324970245361328,0.25645923614501953
23b_job.sql,2.3201184272766113,0.22401189804077148,0.8116936683654785,0.24340415000915527
23c_job.sql,3.8591763973236084,0.9103829860687256,10.034655809402466,0.9736716747283936
24a_job.sql,7.181674242019653,0.8664755821228027,2.00712513923645,0.9753844738006592
24b_job.sql,8.955334901809692,0.3421468734741211,32.0,0.3785715103149414
25a_job.sql,32.0,1.6726601123809814,32.0,1.854109525680542
25b_job.sql,6.22307014465332,0.24555253982543945,32.0,0.335080623626709
25c_job.sql,6.561708450317383,6.650784969329834,4.866974115371704,7.341372013092041
26a_job.sql,17.114559412002563,2.5839545726776123,2.234910249710083,3.896394729614258
26b_job.sql,1.3565292358398438,0.21748638153076172,1.406689167022705,0.24784278869628906
26c_job.sql,12.903334140777588,3.7535815238952637,4.215298175811768,4.077168703079224
27a_job.sql,6.869505405426025,0.14278197288513184,3.2317423820495605,0.15014052391052246
27b_job.sql,2.0461525917053223,0.12740802764892578,3.4686951637268066,0.12925004959106445
27c_job.sql,1.9543960094451904,0.16508722305297852,1.9188668727874756,0.17843079566955566
28a_job.sql,10.66038703918457,0.6573007106781006,5.862425327301025,0.7385210990905762
28b_job.sql,9.95815896987915,0.4302542209625244,8.661744356155396,0.4992556571960449
28c_job.sql,9.83021855354309,0.9460735321044922,6.10482382774353,0.9878532886505127
29a_job.sql,32.0,2.1858808994293213,32.0,2.2188668251037598
29b_job.sql,32.0,2.1850476264953613,32.0,2.1688952445983887
29c_job.sql,32.0,4.696897268295288,32.0,4.68360710144043
2a_job.sql,1.6983311176300049,0.38582301139831543,2.651865005493164,0.42855000495910645
2b_job.sql,32.0,0.3874945640563965,0.5299649238586426,0.4365553855895996
2c_job.sql,2.2850587368011475,0.371227502822876,1.0016975402832031,0.41038084030151367
2d_job.sql,0.5623738765716553,0.4641611576080322,0.6467082500457764,0.5546388626098633
30a_job.sql,3.680551767349243,1.8682854175567627,6.785139560699463,2.053166389465332
30b_job.sql,30.985252141952515,0.33582353591918945,2.0765838623046875,0.4080545902252197
30c_job.sql,9.346449851989746,3.2412302494049072,3.62296986579895,3.5342166423797607
31a_job.sql,3.470193862915039,2.057866096496582,32.0,2.492539167404175
31b_job.sql,32.0,0.3740372657775879,32.0,0.779226541519165
31c_job.sql,3.3972628116607666,1.5245442390441895,2.567777633666992,1.6286873817443848
32a_job.sql,0.17742657661437988,0.06721186637878418,0.4950392246246338,0.07172942161560059
32b_job.sql,32.0,0.17422795295715332,0.2786588668823242,0.20161032676696777
33a_job.sql,9.164880275726318,0.3071620464324951,6.8112945556640625,0.31846189498901367
33b_job.sql,6.610848426818848,0.35699892044067383,6.989928722381592,0.3081498146057129
3a_job.sql,5.408939838409424,0.2034313678741455,0.3058769702911377,0.2288966178894043
3b_job.sql,8.60896372795105,0.18975114822387695,7.552517414093018,0.21898174285888672
3c_job.sql,32.0,0.2856628894805908,0.3990635871887207,0.327913761138916
4a_job.sql,0.23725318908691406,0.15465426445007324,0.257077693939209,0.1910994052886963
4b_job.sql,0.7218871116638184,0.1393437385559082,0.22381043434143066,0.16122055053710938
4c_job.sql,32.0,0.1465740203857422,0.27183961868286133,0.18815302848815918
5a_job.sql,0.503974437713623,0.21719717979431152,2.942310094833374,0.22641301155090332
5b_job.sql,3.048717737197876,0.21876287460327148,0.3100724220275879,0.2381441593170166
5c_job.sql,0.48087215423583984,0.3165011405944824,0.3318650722503662,0.3164541721343994
6a_job.sql,16.778753519058228,0.09714293479919434,0.20861530303955078,0.1045985221862793
6b_job.sql,32.0,0.19939661026000977,0.40157651901245117,0.273303747177124
6c_job.sql,15.220098972320557,0.07018637657165527,14.247813701629639,0.07751250267028809
6d_job.sql,3.0110204219818115,2.861252546310425,3.272111177444458,3.167466402053833
6e_job.sql,13.96171498298645,0.10436463356018066,0.18859648704528809,0.11604523658752441
6f_job.sql,32.0,4.503183603286743,3.2115955352783203,5.136261224746704
7a_job.sql,32.0,1.7087557315826416,0.74654221534729,1.758833646774292
7b_job.sql,3.7547833919525146,0.7891132831573486,0.4268362522125244,1.113851547241211
7c_job.sql,2.125393867492676,3.51838755607605,6.249297618865967,3.6159744262695312
8a_job.sql,1.7730011940002441,1.6617112159729004,1.8527452945709229,1.802661657333374
8b_ceb.sql,12.76154375076294,27.3605375289917,21.35986638069153,29.618212461471558
8b_job.sql,1.9188964366912842,0.3563215732574463,0.5023577213287354,0.3936583995819092
8c_job.sql,32.0,4.172191619873047,32.0,4.508763790130615
8d_job.sql,32.0,2.8075103759765625,5.418818235397339,2.9417452812194824
9a_job.sql,1.3111684322357178,1.1661243438720703,1.3277807235717773,1.2140967845916748
9b_job.sql,4.970555543899536,1.2023789882659912,1.3936254978179932,1.2765979766845703
9c_job.sql,32.0,1.2368483543395996,9.74519395828247,1.262908935546875
9d_job.sql,2.5647289752960205,2.457303047180176,3.253257989883423,2.563263177871704
